label	cmd
0	
0	%*
0	%/
0	%DSP%
0	%ES_RB%
0	%GAT2E%
0	%LOG%NUM%
0	%LOG_NUM%
0	%M
0	%M%S
0	%NTF%
0	%NUM
0	%NUM%
0	%NUM*
0	%RTN%
0	%UQ%
0	%UQ_%
0	%USER_LOGIN_FN
0	%asset%
0	%cnt%NUM%
0	%cust%
0	%eXvBD6b*K2
0	%log%NUM%
0	%log_NUM%
0	%s/
0	%session%
0	%user_bas%
0	.
0	.                   uniq_num_NUM.txt                      fil_sum_NUM.o
0	.  /TS_USAGE_OVER.sh
0	. $OHME/.profile
0	. -
0	. . bash_profile
0	. .abshrc
0	. .bash_profile
0	. .bashrc
0	. .cshrc
0	. .infrabot.env
0	. .jasp
0	. .jkpro
0	. .ldwalias
0	. .profile
0	. .sh
0	. .smm_aliases
0	. .sr.sh
0	. /
0	. /.bash_profile
0	. /.bashrc
0	. /.infrabot.env
0	. /.infrabot.env && env | grep 'JBOSS_CFG' | awk -F':' '{print $2}'
0	. /.infrabot.env && env | grep 'JBOSS_CFG' | awk -F':' '{print $2}' | awk -F'configuration' '{print $1}'
0	. /.infrabot.env && env | grep 'JBOSS_CFG|TOMCAT_CFG|WEBLOGIC_CFG|JEUS_CFG'
0	. /.infrabot.env && env | grep 'JBOSS_CFG|TOMCAT_CFG|WEBLOGIC_CFG|JEUS_CFG' | sed 's/' | sort
0	. /.infrabot.env && env | grep 'TOMCAT_LOG' | sed 's/'
0	". /.infrabot.env && env | grep 'TOMCAT_LOG' | sed 's/'"""
0	. /.jkpro
0	. /.local.ini
0	. /.prfile
0	. /.profile
0	. //bash_profile
0	. /TS_USAGE_OVER.sh
0	. /altimon
0	. /altimon start
0	. /backup.sh
0	. /bash_profile
0	. /begin_backup.sh
0	. /forced_stops.sh
0	. /good_morning.sh
0	. /nolockout &
0	. /prompt
0	. /setenv.sh
0	. /sherpa_start.sh
0	. /sherpa_stop.sh
0	. /siebenv.sh
0	. /start_beat.sh
0	. /startup.sh
0	. /zdba7 -kill
0	. > a.a
0	. ???
0	. LSM_NOTI_CUSTOMER_INS.sh
0	. NUM
0	. TS_USAGE_OVER.sh
0	. a
0	. a. a
0	. a.a
0	. a.l
0	. a.sh
0	. a.shw_mon.sh
0	. aa.sh
0	. altibase_user.env
0	. au_ex
0	. au_ext.sh
0	. au_ext.sh >
0	. bcv_cm.sh
0	. bcv_ep.sh
0	. bsr.sh
0	. c.sh
0	. check_deploy.sh
0	. chk.sh
0	. chk_mec _att1.sh PLNUM
0	. chk_mec _att1.sh ~
0	. chk_mec_att1.sh KJPLTE4J1
0	. chk_pwinfo.sh
0	. cleanfile.sh
0	. conn _prdcustc.sh
0	. conn _prdcustsel.sh
0	. conn_prdcustc.sh
0	. depcheck.sh
0	. deploy_srf.sh
0	. epNUM
0	. forced_stops.sh
0	. iostat -xcnCXTdz 2iostat -xcnCXTdz 2
0	. jyj_sh
0	. loc._NUM
0	. lsm_count.sh
0	. lsm_noti_day_1_NUM.sh
0	. lsm_noti_day_2_NUM.sh
0	. lsm_noti_day_3_NUM
0	. lsm_noti_day_3_NUM.sh
0	. lsm_noti_day_4_NUM
0	. lsm_noti_day_5_NUM
0	. mec_chk.sh
0	. mec_chk.sh ONSCTNUM
0	. mec_chk.sh PLNUM
0	. mem_chk.sh
0	. oca_disk_clean.sh
0	. opmd_id_chk.sh
0	. oraenv
0	. p
0	. s.
0	. s.r.
0	. s.rhs
0	. save
0	. snd_batch.sh
0	. sr.
0	. sr.hs
0	. sr.sh
0	. sr.shcd -
0	. sr.shtop
0	. srep.sh
0	. srsel.sh
0	. startAdmin.sh
0	. startAll.sh
0	. startBI.sh
0	. startRTD.sh
0	. starts
0	. stopAdmin.sh
0	. stopAll.sh
0	. stopBI.sh
0	. stopRTD.sh
0	. stops.sh
0	. t.sh
0	. test.sh
0	. type : nsr license
0	. usr.sh
0	. usrc.sh
0	.*
0	.*CCR.sh
0	..
0	.. ..
0	.. ................................
0	.. SVLTE2_FW4GVLTE_IDNUM_TNUM_0_NUM.DAT
0	.. clear
0	.. t.sh
0	...
0	... ..date
0	... [SUCCESS]
0	....
0	....clear
0	....df -h
0	....exit
0	....fcinfo hba-port
0	...SMS
0	...cd /home
0	...clear
0	...date
0	...e
0	...exit
0	...id
0	...passwd -x NUM itam
